expense_id,expense_date,department_id,expense_type,amount
1,2024-01-01,1,Salary,12415.5
2,2024-01-01,2,Marketing,1976.77
3,2024-01-01,5,Salary,5869.39
4,2024-01-01,1,Software,186.41
5,2024-01-01,2,Marketing,4537.49
6,2024-01-01,5,Salary,6988.38
7,2024-01-01,5,Office,687.33
8,2024-01-01,5,Software,906.75
9,2024-01-01,2,Salary,11981.39
10,2024-01-01,3,Cloud Hosting,1030.75
11,2024-01-01,1,Cloud Hosting,735.91
12,2024-01-01,3,Salary,13474.94
13,2024-01-01,3,Travel,3267.09
14,2024-01-01,4,Office,850.72
15,2024-01-01,1,Software,1700.92
16,2024-01-02,3,Travel,2393.94
17,2024-01-02,1,Office,164.15
18,2024-01-02,3,Marketing,7896.55
19,2024-01-02,1,Marketing,3660.88
20,2024-01-02,3,Software,571.7
21,2024-01-02,2,Cloud Hosting,3449.82
22,2024-01-02,1,Office,952.78
23,2024-01-02,5,Marketing,6103.89
24,2024-01-02,4,Marketing,3656.19
25,2024-01-02,5,Office,407.46
26,2024-01-02,1,Cloud Hosting,1376.53
27,2024-01-02,3,Salary,9011.65
28,2024-01-02,2,Salary,14131.36
29,2024-01-02,3,Travel,1007.98
30,2024-01-02,4,Software,2665.58
31,2024-01-03,2,Software,868.15
32,2024-01-03,5,Marketing,4772.84
33,2024-01-03,5,Office,699.81
34,2024-01-03,4,Travel,1575.59
35,2024-01-03,5,Marketing,4454.61
36,2024-01-03,1,Salary,6528.41
37,2024-01-03,4,Marketing,5174.86
38,2024-01-03,4,Software,1828.08
39,2024-01-03,5,Software,829.1
40,2024-01-03,1,Travel,2785.08
41,2024-01-03,5,Salary,12508.78
42,2024-01-03,3,Office,256.17
43,2024-01-03,2,Software,1415.8
44,2024-01-03,3,Office,1460.64
45,2024-01-03,5,Marketing,7388.39
46,2024-01-04,5,Cloud Hosting,3162.16
47,2024-01-04,3,Marketing,6337.58
48,2024-01-04,5,Travel,3690.28
49,2024-01-04,3,Travel,2056.7
50,2024-01-04,3,Salary,13787.22
51,2024-01-04,2,Cloud Hosting,572.25
52,2024-01-04,1,Travel,525.48
53,2024-01-04,1,Software,2936.16
54,2024-01-04,2,Travel,687.89
55,2024-01-04,5,Software,578.87
56,2024-01-04,5,Travel,1807.92
57,2024-01-04,5,Marketing,6286.86
58,2024-01-04,2,Office,1098.13
59,2024-01-04,3,Software,1370.49
60,2024-01-04,4,Travel,659.82
61,2024-01-05,3,Salary,5210.34
62,2024-01-05,2,Travel,2436.07
63,2024-01-05,1,Salary,12078.41
64,2024-01-05,2,Salary,5674.0
65,2024-01-05,3,Salary,5708.57
66,2024-01-05,3,Marketing,5682.84
67,2024-01-05,5,Marketing,1926.18
68,2024-01-05,5,Travel,1996.15
69,2024-01-06,2,Software,373.54
70,2024-01-06,4,Office,596.02
71,2024-01-06,4,Software,2605.13
72,2024-01-06,1,Salary,5606.13
73,2024-01-06,3,Office,1220.83
74,2024-01-06,2,Salary,6915.9
75,2024-01-06,4,Travel,732.69
76,2024-01-06,3,Marketing,4238.4
77,2024-01-06,4,Salary,13080.22
78,2024-01-06,1,Travel,392.24
79,2024-01-06,1,Travel,3882.19
80,2024-01-06,2,Marketing,3844.9
81,2024-01-07,4,Marketing,7317.1
82,2024-01-07,4,Marketing,1015.09
83,2024-01-07,3,Software,2786.9
84,2024-01-07,3,Software,1326.72
85,2024-01-07,5,Office,1026.62
86,2024-01-07,2,Software,650.7
87,2024-01-07,1,Marketing,5054.26
88,2024-01-07,1,Travel,3042.31
89,2024-01-07,1,Salary,10841.78
90,2024-01-07,5,Travel,798.24
91,2024-01-07,1,Travel,3435.1
92,2024-01-07,5,Salary,5679.61
93,2024-01-08,1,Software,2830.63
94,2024-01-08,2,Travel,2399.89
95,2024-01-08,5,Salary,5819.83
96,2024-01-08,5,Office,891.32
97,2024-01-08,3,Cloud Hosting,1260.02
98,2024-01-08,3,Office,434.16
99,2024-01-08,2,Software,2047.9
100,2024-01-08,4,Cloud Hosting,1786.03
101,2024-01-09,4,Salary,11211.59
102,2024-01-09,1,Travel,478.39
103,2024-01-09,5,Marketing,2856.4
104,2024-01-09,1,Cloud Hosting,4432.57
105,2024-01-09,3,Cloud Hosting,1041.41
106,2024-01-09,3,Travel,2524.38
107,2024-01-10,1,Travel,2737.88
108,2024-01-10,3,Travel,3740.67
109,2024-01-10,2,Salary,7644.66
110,2024-01-10,5,Salary,6554.48
111,2024-01-10,5,Cloud Hosting,1289.96
112,2024-01-10,2,Cloud Hosting,3531.24
113,2024-01-10,5,Cloud Hosting,2596.1
114,2024-01-10,1,Salary,11342.84
115,2024-01-10,1,Cloud Hosting,316.66
116,2024-01-10,3,Marketing,2131.07
117,2024-01-10,5,Software,2146.44
118,2024-01-10,1,Travel,625.12
119,2024-01-10,2,Office,863.83
120,2024-01-10,5,Cloud Hosting,2896.87
121,2024-01-10,2,Software,221.3
122,2024-01-11,3,Salary,7100.77
123,2024-01-11,1,Marketing,3475.75
124,2024-01-11,4,Travel,3900.58
125,2024-01-11,2,Office,1396.07
126,2024-01-11,2,Marketing,7833.44
127,2024-01-11,4,Marketing,1173.5
128,2024-01-11,3,Office,1195.34
129,2024-01-11,2,Software,873.74
130,2024-01-11,1,Office,635.56
131,2024-01-11,4,Salary,7224.34
132,2024-01-12,3,Cloud Hosting,4156.52
133,2024-01-12,2,Marketing,1165.65
134,2024-01-12,4,Marketing,3297.83
135,2024-01-12,3,Salary,8511.46
136,2024-01-12,4,Travel,2782.17
137,2024-01-12,3,Travel,3769.1
138,2024-01-12,3,Salary,6785.68
139,2024-01-12,1,Cloud Hosting,809.49
140,2024-01-12,3,Software,2212.78
141,2024-01-12,4,Cloud Hosting,3149.18
142,2024-01-12,1,Travel,1663.74
143,2024-01-12,2,Travel,1167.95
144,2024-01-13,5,Salary,14255.75
145,2024-01-13,2,Travel,1584.04
146,2024-01-13,3,Salary,11231.55
147,2024-01-13,1,Office,1107.66
148,2024-01-13,5,Cloud Hosting,1753.64
149,2024-01-13,3,Software,1266.96
150,2024-01-13,5,Cloud Hosting,898.25
151,2024-01-13,4,Software,2064.22
152,2024-01-13,5,Marketing,4983.74
153,2024-01-13,5,Software,2517.8
154,2024-01-13,3,Cloud Hosting,1287.86
155,2024-01-14,3,Travel,1966.96
156,2024-01-14,2,Software,1582.4
157,2024-01-14,2,Office,1022.39
158,2024-01-14,5,Cloud Hosting,3420.11
159,2024-01-14,3,Travel,554.87
160,2024-01-14,3,Marketing,2572.48
161,2024-01-14,2,Marketing,1170.98
162,2024-01-14,4,Marketing,5278.92
163,2024-01-14,4,Salary,9144.41
164,2024-01-14,5,Office,372.21
165,2024-01-14,4,Office,792.13
166,2024-01-14,2,Marketing,5592.41
167,2024-01-14,1,Salary,12784.2
168,2024-01-14,2,Marketing,6628.77
169,2024-01-15,1,Software,1716.48
170,2024-01-15,4,Salary,6333.39
171,2024-01-15,5,Software,2964.89
172,2024-01-15,3,Travel,3810.15
173,2024-01-15,5,Software,2463.52
174,2024-01-15,4,Travel,3356.16
175,2024-01-15,4,Travel,3609.39
176,2024-01-15,4,Office,730.1
177,2024-01-15,3,Marketing,6360.7
178,2024-01-15,4,Travel,2581.64
179,2024-01-15,4,Cloud Hosting,664.17
180,2024-01-15,2,Cloud Hosting,1577.06
181,2024-01-15,5,Cloud Hosting,678.71
182,2024-01-16,4,Marketing,5857.65
183,2024-01-16,2,Office,189.92
184,2024-01-16,3,Software,1673.57
185,2024-01-16,1,Software,699.82
186,2024-01-16,4,Software,2724.03
187,2024-01-16,1,Travel,3455.58
188,2024-01-16,4,Travel,2012.52
189,2024-01-17,4,Cloud Hosting,4311.21
190,2024-01-17,5,Software,2267.8
191,2024-01-17,5,Travel,3611.68
192,2024-01-17,2,Software,891.51
193,2024-01-17,1,Software,1227.69
194,2024-01-17,4,Office,1113.85
195,2024-01-17,2,Software,2944.09
196,2024-01-17,1,Travel,3646.33
197,2024-01-17,5,Travel,2719.4
198,2024-01-17,4,Salary,6356.99
199,2024-01-18,1,Marketing,2821.09
200,2024-01-18,2,Cloud Hosting,2437.09
201,2024-01-18,4,Cloud Hosting,1607.81
202,2024-01-18,3,Software,2521.24
203,2024-01-18,1,Software,2272.17
204,2024-01-18,3,Salary,7242.22
205,2024-01-18,1,Salary,12542.33
206,2024-01-18,2,Marketing,6874.6
207,2024-01-18,2,Travel,1106.47
208,2024-01-18,1,Software,1735.51
209,2024-01-18,4,Marketing,5896.25
210,2024-01-18,2,Cloud Hosting,3147.7
211,2024-01-19,3,Marketing,1756.69
212,2024-01-19,3,Salary,10757.97
213,2024-01-19,4,Software,2830.26
214,2024-01-19,1,Marketing,5144.69
215,2024-01-19,2,Office,242.66
216,2024-01-19,5,Cloud Hosting,4085.98
217,2024-01-20,3,Salary,10327.45
218,2024-01-20,3,Office,196.54
219,2024-01-20,3,Office,117.71
220,2024-01-20,4,Software,406.06
221,2024-01-20,4,Cloud Hosting,3624.35
222,2024-01-20,2,Software,2228.01
223,2024-01-20,3,Office,962.28
224,2024-01-20,4,Travel,1966.52
225,2024-01-20,5,Office,475.75
226,2024-01-20,1,Marketing,2952.5
227,2024-01-20,2,Software,2276.38
228,2024-01-20,5,Travel,2739.12
229,2024-01-20,1,Cloud Hosting,2623.24
230,2024-01-20,2,Cloud Hosting,2591.48
231,2024-01-21,3,Cloud Hosting,1614.39
232,2024-01-21,3,Travel,2312.01
233,2024-01-21,2,Travel,525.33
234,2024-01-21,4,Office,784.01
235,2024-01-21,4,Marketing,5521.32
236,2024-01-21,4,Software,2399.51
237,2024-01-21,3,Salary,7215.96
238,2024-01-21,2,Office,528.69
239,2024-01-21,3,Travel,1998.39
240,2024-01-21,3,Travel,1816.91
241,2024-01-22,3,Cloud Hosting,3603.42
